,0
0,1.0511694
1,-0.91951704
2,2.9651833
3,1.5794687
4,-1.8187246
5,0.8444935
6,-2.712839
7,0.8484957
8,-0.27519625
9,0.7600027
10,-0.82422626
11,-2.8665376
12,-0.5405369
13,-1.0989258
14,0.9482636
15,-2.1574404
16,-0.5714724
17,0.6789813
18,1.3149822
19,-1.0537198
20,0.72480226
21,1.7107565
22,3.4195216
23,-0.61065435
24,-0.7183242
25,-1.226062
26,-1.2053757
27,4.201459
28,-2.8362854
29,-0.5867524
30,-4.2987437
31,1.2397103
32,5.127286
33,-1.4602039
34,2.098118
35,-1.0481384
36,-0.13726133
37,-1.2004855
38,0.9434242
39,-0.17108965
40,-1.4103423
41,1.0430028
42,0.35963327
43,1.562883
44,0.5621887
45,0.9072435
46,-0.56332064
47,-1.0430161
48,-2.02602
49,-0.4922676
50,0.66865516
51,0.76253176
52,3.1579075
53,-0.4284439
54,-0.16556543
55,-0.06647903
56,2.293108
57,-2.5420618
58,0.25927526
59,-1.0336925
60,0.911934
61,-3.190327
62,-3.4684746
63,3.0529048
64,-0.12673551
65,0.02273348
66,0.1542508
67,-1.8285139
68,0.28552377
69,3.899413
70,0.35113084
71,-6.835211
72,-1.0493358
73,0.9415413
74,-1.9443834
75,2.4822483
76,0.7873615
77,1.1718743
78,0.5882149
79,-0.3633061
80,-0.7333951
81,-1.4067261
82,4.470458
83,-1.4924104
84,-1.4890605
85,-0.0717839
86,1.8905795
87,2.4896686
88,-1.8424387
89,3.534944
90,1.3973863
91,-5.0938067
92,-2.5530663
93,-1.6855726
94,-1.6526041
95,-3.8030858
96,-5.496037
97,1.8841804
98,1.464263
99,0.91409934
100,-1.2779723
101,-1.8495295
102,-5.467463
103,0.66792035
104,-3.3516424
105,1.5053939
106,2.6062262
107,-0.39120996
108,0.573558
109,1.4501967
110,2.190453
111,2.5594149
112,1.0001609
113,1.1560872
114,-1.2689369
115,-2.5666554
116,0.43033436
117,0.51639074
118,-0.18250412
119,4.553943
120,-0.43738306
121,0.46198747
122,1.6538829
123,-2.9789362
124,0.37553748
125,-1.8487141
126,-3.7424173
127,-2.2397568
128,1.5789634
129,0.8498149
130,-1.0986664
131,2.813373
132,-3.012991
133,0.9267379
134,0.030684143
135,-0.56095886
136,2.5569715
137,-2.4331644
138,-1.4734068
139,1.2338805
140,-1.6095059
141,-4.275624
142,-2.044229
143,-3.700859
144,0.93396676
145,1.2423654
146,0.766224
147,-0.64922
148,-2.2530544
149,1.9423306
150,0.55725366
151,0.45448884
152,-0.41461754
153,1.2325232
154,0.48634288
155,-2.9958766
156,1.8286691
157,-1.6350005
158,1.6142813
159,5.536842
160,-0.33185232
161,-3.0329664
162,2.3795273
163,0.3834106
164,0.08527994
165,0.15845194
166,2.5434194
167,2.054791
168,0.35855925
169,2.1646156
170,-1.7392321
171,2.014032
172,-0.4748394
173,-0.5670961
174,1.3465581
175,-1.4118348
176,-2.7654793
177,-0.27766478
178,2.8404849
179,-2.1306329
180,-3.6124692
181,-0.7665863
182,0.12517619
183,-1.5336554
184,3.0082395
185,-1.1307136
186,1.42181
187,-0.8565999
188,-0.35500634
189,-1.0098897
190,2.2131443
191,0.6892145
192,0.9847206
193,4.8800125
194,-3.4150426
195,0.39326522
196,0.5360877
197,1.8036605
198,-3.594153
199,-0.546051
200,-1.3765833
201,-0.43264675
202,-0.6640285
203,-0.26806462
204,2.0390468
205,3.3938348
206,-0.7076386
207,-0.56472385
208,-0.9456172
209,6.586187
210,-1.5598693
211,-0.503883
212,2.37678
213,0.84264076
214,1.4205575
215,-3.3216276
216,-0.55677795
217,-0.52704084
218,-0.7130041
219,1.4318123
220,2.5854568
221,0.6675524
222,4.560891
223,3.8260188
224,2.710994
225,-1.3497021
226,4.4805784
227,-0.6019672
228,-1.7175331
229,-2.3379595
230,-0.4880041
231,3.2135825
232,1.2872443
233,0.10967597
234,-2.039705
235,-0.42960656
236,1.1822683
237,-3.5671282
238,3.4687252
