id,hhb,hbo2,ca,na
10000,7.2639985,4.229924,9.451929,3.4132347
10001,4.707888,3.8808744,8.451066,2.3024287
10002,9.830639,4.5509663,10.332661,3.775042
10003,8.751196,4.3740177,9.893239,3.2552056
10004,8.465092,3.499754,8.690103,3.6264634
10005,8.350197,4.066518,10.77359,2.1753192
10006,7.3229766,3.3344922,8.904261,1.7330035
10007,9.668363,4.488838,10.142398,2.7629778
10008,7.276634,4.2947493,8.861415,3.2449944
10009,9.656024,4.0640025,7.7460036,3.561211
10010,8.604552,3.3461475,10.402096,3.9295545
10011,7.653735,3.655075,4.50973,3.7651536
10012,10.358456,3.6967504,7.4608645,2.730577
10013,7.5379734,4.231393,7.4918146,2.7496834
10014,8.635823,4.1802006,7.274093,2.546918
10015,5.257138,3.3230436,7.1694727,2.9588304
10016,9.449958,3.8992453,9.969164,4.077648
10017,8.743323,3.8830283,10.190543,2.4934926
10018,10.492043,4.0120687,8.788064,3.253672
10019,6.6012063,3.8538213,7.1988807,1.372926
10020,9.527512,2.6784275,7.479806,4.911394
10021,11.081076,4.4980006,9.1449795,2.0050282
10022,11.206949,4.3532248,10.706266,3.3165836
10023,6.867135,4.2523575,8.448349,2.6859486
10024,7.6836276,3.9979248,10.095061,3.0388296
10025,11.122728,3.691833,9.156933,3.1527753
10026,9.011598,3.6150744,6.049504,2.5955634
10027,12.626715,4.154218,10.338099,3.8129196
10028,1.915998,3.4198377,8.096687,2.0584366
10029,7.743626,3.7215097,8.31289,3.2354205
10030,2.5384004,3.45644,7.1690006,2.410705
10031,8.617509,3.2662969,9.17385,3.3161159
10032,13.529679,4.5269184,11.105096,3.3516467
10033,7.7387915,4.0450206,9.027642,3.23117
10034,11.012587,4.2913704,9.692664,3.3764763
10035,6.3605533,3.4435637,7.4558363,2.9347167
10036,8.413584,3.6148815,7.805313,3.7865188
10037,5.9449773,4.2624626,7.481468,2.8934307
10038,9.196785,4.2659125,9.023426,2.84361
10039,8.156406,3.2118142,9.6561985,3.0212386
10040,4.3120337,3.884915,10.016331,3.2777033
10041,7.5565443,4.1607203,7.7211814,3.1321151
10042,7.7606044,4.422765,9.649217,2.7809348
10043,10.282651,3.6218257,9.646784,2.4498804
10044,6.6298566,4.438069,10.736132,3.2927628
10045,8.320551,4.047161,10.374277,3.849956
10046,6.8920794,3.8989966,9.629772,3.6260893
10047,7.8817945,4.365696,10.837927,3.3842762
10048,7.0427966,3.5040824,8.767261,3.0337696
10049,7.0927567,4.240609,8.72921,2.2538118
10050,7.005702,3.9565864,9.798373,1.3656242
10051,9.419466,3.9588356,7.747123,2.8565826
10052,10.631652,4.3135986,10.304055,2.936124
10053,5.363159,3.8062649,9.374116,2.961365
10054,6.6059823,4.4129133,7.8427405,3.3871667
10055,7.022562,3.4753308,9.513017,4.263091
10056,10.765321,4.811026,11.035024,3.1871934
10057,9.46166,4.363985,9.291186,2.8338127
10058,10.253083,3.6306646,11.054551,3.87773
10059,7.8255835,3.9450755,5.6829944,3.811318
10060,11.711759,3.3753705,5.9505906,2.561441
10061,6.6851563,4.102957,6.397383,1.1705673
10062,6.9415336,3.0978587,8.204277,2.9536288
10063,12.166547,4.3290634,9.252286,4.2411404
10064,7.392456,3.9488401,6.9874535,3.2870917
10065,9.284133,4.113482,8.62992,1.8188009
10066,8.893644,3.6741428,8.467441,3.2629528
10067,7.163495,3.8024492,5.7799215,2.475133
10068,9.673022,4.2937713,10.599326,2.9709573
10069,10.010288,4.6765146,11.040122,3.7697005
10070,7.486048,4.290049,9.719414,2.6333997
10071,0.067846626,3.284012,9.012631,3.8598604
10072,7.8556933,4.2203336,10.245624,3.8260229
10073,8.4274845,3.80037,8.986309,3.5288608
10074,6.2723055,3.882158,8.820739,3.8475988
10075,8.956014,3.9898112,11.810992,2.2533212
10076,7.855438,3.8630705,10.591527,2.2925565
10077,7.749532,4.2673755,9.968283,2.5294716
10078,10.708473,3.65633,9.807268,3.2308335
10079,7.721849,4.0586023,9.320492,3.0510087
10080,7.186384,3.5423524,8.696562,3.0403585
10081,8.986663,4.1223516,8.648779,2.2322643
10082,11.919719,4.0280113,11.063779,2.94943
10083,7.076424,3.19902,9.442088,1.193887
10084,6.4302998,3.755959,8.182694,3.8438768
10085,10.080219,4.358015,5.3414288,4.6190133
10086,9.002614,4.2566338,9.399202,2.8383641
10087,10.671379,4.2709055,8.710222,4.2494164
10088,5.4314203,3.8745446,6.8352666,2.3714356
10089,10.194675,4.4699144,7.5751786,1.754776
10090,6.2598257,3.6752346,8.893601,2.6096694
10091,2.307269,3.8083246,8.039028,2.049284
10092,3.782211,3.7531655,9.43721,0.47104916
10093,3.904366,4.1908665,6.952215,1.2213619
