id,S1,S2,S3,S4
0,95051.6972264264,95051.6972264264,1253290.816696756,1989518.4123215945
1,163332921.42000538,963889.5725989613,63250705.49158247,242884595.28751513
2,454666.5018010352,2482773.5707153487,18887.067590278337,165724.17348600886
3,4683835.138859222,127119504.74559987,17823073.77110603,27471758.91566933
4,961342.1772026555,48537870.706100896,6531841.757141761,31325639.826874368
5,49971345.0838634,48794607.223690584,1531070.6255678397,56358132.23082515
6,1432412.8153362623,3761814.1769416276,659573.2848076504,937535.9913878383
7,677738.1288171803,12976958.897364616,19935903.940266885,21526226.81965056
8,216802371.91533655,480660.37509804,96049712.91854285,40919858.25038037
9,17414731.866952848,97171643.56436127,42836721.98108094,36178467.10617218
10,5439696.532300778,16674001.42283307,1602209.9820460256,116640.4879585089
11,95925.38406141003,95925.38406141003,5092.383218843518,73897.40846601024
12,267075.6432043005,624467.1787971902,1426964.7650587012,84683.29529643401
13,3022075.8958533294,28217526.70927385,55071768.6694856,19982645.12115171
14,64828183.62497599,402961.36210398294,52119572.03318797,173987623.64064863
15,1201328.7729125302,28065546.395809006,18921342.289740246,43054451.8041862
16,35877162.03278625,113853266.37501355,7709727.689686112,33279345.153672088
17,6938301.530402211,42384166.543848515,114433.9779174416,1938155.779780569
18,15537291.406528823,2260320.1553847473,3170601.510354459,167616.01201580852
19,2889399.55863482,28993517.587539233,42490096.16731288,51097.800022078365
20,1680054.2287831423,752364.7072041932,1865201.586368661,464423.3075121816
21,551786.3533230803,434166.73092027736,288544.23335040984,2017254.0448206516
22,9745853.547851793,1319945.7954933052,1555587.2843321182,11341006.040283848
23,6219790.43453413,12850973.180946643,23687018.613685947,10426769.843816975
24,36375964.112178,14977613.644127421,7806946.466908217,29165289.350874007
25,613792.0973751633,35610.143544996055,1555058.1980053645,857785.3549722618
26,4369564.266516387,162507.08214162735,2236467.9516492677,151913.1168486229
27,66440.02495076285,273600.35534644796,16111.914509056029,15563.53234376586
28,1377617.9833356834,60881622.426549405,136822.5250670653,13518182.066954153
29,45298191.169923946,7009085.9902845025,7650924.730704645,771436.665415987
30,11561049.223547088,487.8924073902936,53895.732835320356,937424.575392623
31,280927.4921674948,1110537.1599171893,6620209.0548962485,406945.48754762986
32,62709055.93925361,13845278.715924181,977184.7093215759,2089371.0091701625
33,29483614.629027177,8840339.845704166,100762457.39304821,25286732.748085853
34,1321282.0407481533,1021478.2209307591,11053112.632303214,1332398.6779775976
35,1597578.7981756742,27968588.126164865,7502008.538681705,38765166.010273226
36,74732061.43515636,74732061.43515636,30012887.792117536,80574460.74831249
37,49603982.44119261,4695493.728673805,5203407.1449803915,1559276.7996853816
38,2482773.5707153487,454666.5018010352,18887.067590278337,165724.17348600886
39,279932.61638296116,2271054.0704881046,25059275.392224986,6498828.691800078
40,32453852.113005973,27288110.041129533,5948378.767102103,46338494.93646564
41,28217526.70927385,3022075.8958533294,55071768.6694856,19982645.12115171
42,211331503.2251226,33991050.74068851,367420793.7174088,221157947.6794043
43,133.40180317182165,95973928.84487516,219278028.6323873,29037793.403431073
44,2648676.7360005705,2648676.7360005705,690121.9796376614,2805367.6050228407
45,7461284.476893433,7461284.476893433,3249388.5126143475,3219637.347809463
46,131097863.94129822,30259468.978424985,194737340.4838151,133494469.53453007
47,387638.35393533047,40223.318351974594,5176772.541950071,1338538.5142644518
48,2533488.686104072,1882357.6775203291,1091518.9864967584,1068617.173345568
49,2633.4155589629413,4377627.068330646,1020737.903589448,465106.5355033147
50,134455423.14929813,28096950.120753337,9251290.688286666,27658730.32061035
51,1027638.2234240677,2932225.285144958,333573.379336821,443833.42347494117
52,228668583.59409726,43667757.683603056,123859536.97691995,80199248.09087154
53,22867313.230221786,22867313.230221786,27935692.189527884,189900227.90900508
54,8109121.728981318,10590060.444440356,3542.629566074329,5351196.8932608245
55,84664.58959954412,1175195.6934691374,855626.7844727801,298044.1477728214
56,10781553.878244702,1221122.8549272344,1004756.3188389387,8797729.9340437
57,480660.37509804,216802371.91533655,96049712.91854285,40919858.25038037
58,12097857.596637359,12722437.959377332,7671651.483667546,456397.1567194215
59,30553267.728320997,4781479.565328161,7246526.449437436,10283769.115634471
60,480321162.73283184,480321162.73283184,188924290.27214465,326991606.319295
61,85712942.81651285,17386825.734252106,540596665.49773,238451124.04488325
62,98365023.00697155,35820374.8869471,12210333.637996621,16126016.927669728
63,3028912.4931900618,5872334.738394116,1400072.19733776,26084440.071531173
64,143368.4412379227,5928750.898468428,1743507.6450087673,1624141.047375017
65,4336561.245302627,384450.9380866495,9003255.584596377,20769090.29397044
66,17368590.06206529,11847633.240498757,62645891.17852165,18882703.19979062
67,60633.36949107822,563207.7342135967,528971.0678840262,8181.650532736188
68,23074663.10298555,609255.360862662,21371040.572765075,5980200.109944983
69,132597824.10341631,23969663.63275258,420488852.06768286,99402404.17421398
70,996711.8284456092,2242286.0009158505,2457319.1138501335,7558402.772835358
71,8876529.792128664,33742.54339576635,33929917.37769654,20427429.030601773
72,10444616.643336838,357318714.5161578,29026979.906558726,32165121.010402802
73,100951910.98164386,236917.4389642464,44292535.53406211,27197878.938395876
74,102846.1602220877,3402.6139557914535,1410018.0299754427,680279.4978232479
75,3558493.7643620414,17008977.589570865,74548673.2610314,33206516.246757
76,1632681.7706388102,1632681.7706388102,43610441.53848506,129035125.08861594
77,5481363.61796366,65338024.05786938,147069293.42378914,81127971.59931186
78,114713336.79360552,32276159.3569951,108739523.93074432,86274036.29308109
79,2133004.0106451954,2303194.624641892,2462.259452297366,3358549.903379035
80,1400.7130523969877,160735.95372272976,82905.41609985735,6215.9260531363625
