항목명1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        쌀,49.814,52.452,53.909,56.506,59.154,61.968,71.721,74.902,79.729,85.274,88.395,88.645,86.237,88.012,89.758,87.371,82.238,84.138,88.522,88.741,81.043,90.052,98.742,104.157,102.321,100,89.68,84.82,107.79,116.83
        현미,,,,,,,,,,,,,,,,,,,,,,,,,,100,96,89.86,103.25,120.39
        찹쌀,51.142,48.776,41.096,68.029,71.332,45.289,60.748,70.124,73.627,69.293,86.864,100.945,76.359,80.428,110.35,90.766,84.118,83.203,105.931,98.519,109.35,108.693,97.12,104.217,99.737,100,95.67,89.34,103.94,120.66
        보리쌀,32.949,32.949,32.949,32.949,32.949,32.949,32.949,35,47.631,51.966,53.985,56.225,56.863,58.272,59.72,59.006,59.05,60.378,62.506,62.978,61.98,65.053,78.826,95.264,103.562,100,100.88,102.77,106.35,104.59
        콩,16.768,17.893,23.566,28.046,32.478,41.035,42.796,38.189,37.95,47.72,57.734,56.56,52.928,56.209,84.652,87.674,79.909,72.692,81.603,81.786,87.236,125.332,116.332,120.304,105.726,100,91.71,117.71,136.34,149.25
        땅콩,23.305,27.388,27.438,28.688,33.617,35.128,35.21,37.154,48.968,45.104,40.072,42.269,42.757,44.516,59.221,58.875,59.022,65.788,70.419,86.093,82.727,81.066,108.366,105.965,98.204,100,100.57,99.12,99.1,106.11
        혼식곡,,,,,,,,,,,,,,,,,,,,,86.865,109.805,105.375,122.535,111.785,100,93.06,89,95.56,103.23
        밀가루,22.739,23.22,25.07,26.056,26.11,26.848,32.534,35.03,52.574,43.522,41.089,43.726,45.818,51.813,57.147,60.294,61.962,67.575,108.115,98.793,84.462,88.91,89.6,98.42,100.896,100,98.92,97.79,98.83,100.5
        국수,25.275,28.656,32.182,34.935,35.025,34.911,37.39,39.884,52.136,51.714,49.376,48.347,47.944,52.516,56.684,59.107,59.398,65.846,93.934,95.432,93.754,100.333,102.897,104.151,103.366,100,98.93,95.68,94.99,93.31
        라면,32.917,33.377,36.135,38.145,41.805,44.179,46.62,47.857,58.973,57.732,57.036,59.446,62.268,66.259,70.364,75.662,75.669,80.467,91.866,94.187,92.85,92.533,99.411,99.921,100.002,100,99.37,104.77,105.11,104.99
        당면,47.899,48.764,49.607,49.88,50.534,56.447,56.659,56.057,64.017,59.077,54.645,53.807,55.296,55.178,55.975,56.707,58.381,64.009,75.163,79.733,80.534,95.931,98.732,99.234,99.909,100,100.33,100.5,102.31,104.47
        두부,25.308,28.545,31.393,35.369,35.82,37.573,40.738,45.362,55.83,55.242,53.562,53.981,54.477,54.58,59.016,60.478,60.483,63.133,73.33,76.297,77.325,92.197,93.601,99.603,100.144,100,101.62,99.16,99.08,100.88
        시리얼,,,,,,48.069,49.058,52.747,63.507,65.858,61.619,61.737,63.355,63.884,67.016,73.845,77.883,82.148,87.508,95.323,96.67,102.462,104.647,99.274,95.737,100,99.37,94.73,92.72,93.85
        부침가루,,,,,,,,,,,39.256,38.556,40.378,43.767,46.636,48.753,48.128,52.263,85.807,92.107,85.99,95.084,100.125,98.545,99.748,100,96.81,99.27,97.96,97.71
        케이크,31.695,35.38,40.322,44.913,52.575,58.478,62.343,64.712,73.981,73.986,73.986,73.986,74.023,74.221,76.336,78.772,80.334,80.334,82.427,86.201,86.247,90.351,92.378,92.647,98.113,100,104.33,111.2,114.55,117.81
        빵,29.961,32.895,34.723,36.498,39.034,42.13,45.307,46.788,60.232,59.797,59.996,60.561,62.385,62.405,62.86,63.374,63.544,64.188,72.738,77.296,78.517,83.587,86.963,93.256,98.896,100,103.78,105.8,112.53,118.04
        떡,31.71,36.85,41.067,48.844,56.709,55.43,58.307,59.254,62.297,64.043,64.752,69.361,70.581,70.997,76.599,77.522,78.077,78.788,84.253,87.871,89.389,93.449,95.804,97.818,99.32,100,100.41,100.98,104.33,112.3
        파스타면,,,,,,,,,,,,,,,,,,,,,,,,,,100,95.59,95.4,95.81,96.42
        국산쇠고기,26.97,30.998,35.195,34.906,35.662,36.901,36.281,33.285,31.677,36.572,43.842,51.1,63.803,70.797,74.793,75.903,82.272,80.703,80.59,89.027,98.379,88.852,86.892,87.76,93.164,100,114.6,113.73,116.53,119.33
        수입쇠고기,,,,,,56.604,58.25,55.991,55.515,54.854,54.869,54,58.085,64.943,72.774,78.426,77.746,73.661,75.759,75.935,77.661,86.71,86.133,87.223,96.545,100,102.2,104.82,106.5,110.28
        돼지고기,36.93,44.171,37.239,36.209,37.523,36.661,34.642,38.372,40.117,41.568,43.121,46.789,50.767,52.114,65.603,69.529,70.462,67.275,78.828,85.612,80.419,102.993,89.019,83.222,96.468,100,100.65,106.87,102.99,98.97
        닭고기,42.566,41.609,41.318,44.491,54.388,54.479,51.778,51.428,59.878,57.231,55.092,61.685,57.787,53.435,69.507,73.609,68.873,66.328,80.793,96.749,98.786,103.528,100.39,105.548,102.167,100,96.67,101.46,99.15,100.49
        소시지,43.614,43.954,43.129,42.144,41.74,42.108,42.21,42.242,49.735,50.549,50.325,50.786,53.726,59.337,62.495,68.029,67.327,67.508,70.948,81.349,81.429,89.992,91.458,87.29,93.46,100,100.23,98.2,97.22,96.81
        햄및베이컨,,,,,,,,,,,,,,,,74.302,74.692,74.655,77.039,85.677,86.299,92.835,94.668,93.578,98.305,100,95.85,92.37,93.8,92.28
        갈치,17.249,22.289,27.835,34.425,40.731,35.894,41.452,51.368,54.186,52.846,50.378,50.701,54.584,53.774,51.973,51.763,50.801,53.213,55.175,64.894,75.38,83.396,95.52,95.496,94.475,100,109.16,106.66,95.28,93.17
        명태,18.245,30.015,41.757,33.178,35.508,41.242,38.904,42.685,44.129,55.84,56.482,66.284,77.174,94.243,84.873,79.738,76.23,75.533,73.965,101.403,113.96,106.135,91.045,90.239,94.754,100,103.02,106,106.34,108.73
        조기,33.993,29.799,30.039,32.243,35.424,34.755,35.801,40.058,49.074,54.234,56.962,56.867,57.698,58.325,59.426,59.032,58.314,61.138,74.489,81.401,83.804,91.661,95.964,99.932,100.717,100,100.03,97.95,97.36,95.35
        고등어,22.408,34.01,42.771,35.878,25.779,31.358,30.882,31.19,36.077,44.337,50.586,65.78,60.253,58.204,72.377,60.329,66.769,65.437,71.163,80.201,86.374,108.753,97.351,95.298,99.877,100,96.54,96.39,97.46,94.3
        오징어,64.095,64.137,45.103,43.949,53.22,49.98,49.047,43.266,45.915,51.259,45.178,47.234,51.843,53.853,63.579,69.838,66.62,56.564,54.754,63.373,84.906,109.583,104.744,98.453,98.963,100,103.65,155.34,187.77,190.65
        게,,,,,,,,,,,,,,,,,,,,,101.723,97.078,97.265,97.737,97.114,100,127.09,126.76,134.55,138.62
        굴,28.931,33.993,40.428,43.227,59.822,61.747,63.866,60.578,61.088,60.63,59.699,56.664,56.122,53.52,60.679,63.272,66.725,65.476,66.451,83.12,84.544,90.052,92.706,89.154,95.132,100,106.97,107.13,104.24,106.16
        조개,18.902,22.158,23.609,24.873,30.644,35.847,36.68,37.938,42.998,45.199,44.725,46.059,56.718,61.909,61.603,62.057,62.341,62.667,63.267,66.815,76.755,77.439,89.772,98.378,99.458,100,106.64,112.11,114.31,115.14
        전복,,,,,,,,,,,,,,,,,,,,,106.01,103.766,115.658,107.772,105.464,100,92.72,90.23,84.05,79.48
        마른멸치,27.783,26.606,25.743,29.218,39.752,55.367,63.198,53.581,45.852,41.317,54.329,69.935,67.436,60.464,59.422,74.563,75.844,75.502,75.452,79.136,91.345,92.936,91.916,99.637,103.215,100,97.95,102.35,103.3,106.78
        마른오징어,47.998,52.135,43.249,36.412,41.745,41.685,41.039,36.134,37.03,44.458,41.988,42.982,49.133,50.641,52.57,59.761,64.732,59.995,56.259,59.098,72.134,99.214,105.262,104.293,100.965,100,100.82,137.16,178.65,204.94
        낙지,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.46,101.73,132.5,130.9
        오징어채,39.193,41.88,41.303,40.73,51.311,49.836,46.22,43.811,52.316,57.735,48.08,45.319,46.457,48.156,50.933,54.234,54.135,53.543,55.111,58.998,70.076,98.747,102.145,99.151,101.08,100,104.39,118.53,140.42,143.05
        북어채,25.9,28.051,33.676,31.427,31.655,31.873,32.553,32.155,34.622,39.118,39.58,42.404,51.22,52.774,53.453,54.648,56.365,57.705,61.749,83.912,96.497,96.666,94.252,94.506,99.291,100,101.4,104.53,104.45,110.54
        어묵,44.618,47.585,57.458,60.25,60.476,60.27,60.054,60.255,63.178,62.154,60.848,60.417,60.676,61.771,61.877,61.877,62.517,62.393,75.268,83.961,83.44,84.448,93.022,98.559,99.474,100,98.86,97.05,105.33,114.94
        맛살,58.323,65.013,73.543,73.648,73.715,73.845,73.728,73.408,81.329,80.941,76.571,72.985,71.887,74.069,75.926,76.393,77.666,77.78,89.073,97.139,96.652,97.7,100.042,100.997,100.96,100,101.64,101.74,101.95,105.78
        생선통조림,29.237,31.012,31.326,32.053,33.595,35.513,36.099,36.77,47.236,46.727,45.291,45.865,48.893,49.251,52.984,56.864,59.337,62.091,71.189,82.391,83.353,86.91,94.346,99.89,100.664,100,99.02,102.1,106.56,107.13
        젓갈,31.118,34.001,39.183,41.582,45.981,49.583,55.278,56.699,63.852,65.462,64.625,68.001,69.587,71.027,72.446,73.86,74.426,74.943,76.759,80.857,83.777,89.881,94.82,94.522,97.29,100,112.75,117.38,122.59,129.27
        우유,26.195,28.378,31.02,35.392,35.979,35.78,39.132,40.369,46.125,44.666,44.334,44.371,44.193,44.847,50.575,58.508,60.61,60.62,69.084,82.287,81.295,82.684,89.684,93.055,99.982,100,99.54,98.83,100.39,105.03
        분유,54.66,56.408,57.415,62.394,62.649,62.608,62.284,62.144,71.114,69.209,76.808,77.148,76.431,76.277,76.847,77.673,78.637,78.824,78.443,81.608,82.903,82.883,89.577,89.885,96.285,100,93.91,90.53,86.65,86.44
        치즈,41.209,44.122,47.888,48.162,48.292,47.03,46.465,46.881,59.771,60.492,59.618,60.323,60.89,61.043,65.357,71.662,71.823,74.421,90.812,101.626,101.734,102.149,101.947,99.887,99.219,100,99.68,100.76,101.09,100.55
        발효유,45.029,48.583,52.156,55.546,55.561,57.626,58.595,59.11,64.607,64.852,64.373,64.268,64.278,64.357,69.895,73.847,73.847,76.925,83.509,86.918,86.918,87.671,92.618,94.98,98.752,100,101.77,101.03,104.13,105.31
        달걀,35.107,32.519,37.348,34.374,38.544,42.086,41.199,43.272,51.457,47.666,42.129,51.513,49.912,49.905,63.347,70.956,61.932,63.724,77.668,83.126,79.466,94.007,88.703,94.94,102.69,100,91.47,131.4,94.49,94.75
        참기름,62.867,62.983,64.447,66.348,70.579,66.531,65.55,65.378,66.182,64.586,60.699,60.37,59.318,59.363,80.694,77.781,70.21,72.051,84.152,95.223,94.012,95.257,95.102,97.558,100.476,100,101.99,99.49,102.7,107.51
