항목명1,총지수,  식료품 및 비주류 음료,  주류 및 담배,  의류 및 신발,"  주택, 수도, 전기 및 연료",  가정용품 및 가사 서비스,  보건,  교통,  통신,  오락 및 문화,  교육,  음식 및 숙박,  기타 상품 및 서비스
2002년 10월,71.697,59.661,52.842,70.473,70.403,76.914,81.766,75.756,119.491,96.628,65.519,71.129,67.123
2002년 11월,71.764,59.118,52.796,70.604,70.786,76.84,81.84,76.041,119.36,96.724,65.579,71.197,67.123
2002년 12월,72.096,60.151,52.796,71.126,70.977,77.288,82.061,76.111,119.36,97.301,65.579,71.466,67.123
2003년 1월,72.564,61.347,52.796,71.258,71.168,77.81,83.093,76.678,119.099,97.685,65.813,71.734,67.434
2003년 2월,72.962,61.945,53.448,71.453,71.614,78.481,83.093,77.599,115.954,97.685,65.99,72.002,67.992
2003년 3월,73.828,63.142,54.053,71.65,71.996,78.63,83.093,79.229,115.693,97.204,69.045,72.338,68.117
2003년 4월,73.695,62.49,54.239,71.65,72.06,78.407,83.168,78.095,115.168,97.301,69.105,72.875,68.117
2003년 5월,73.562,61.511,54.146,72.107,72.251,78.481,83.536,77.812,114.776,96.916,69.162,73.009,68.179
2003년 6월,73.362,60.532,54.146,72.173,72.315,78.332,83.683,77.458,114.644,96.532,69.222,73.143,68.552
2003년 7월,73.296,60.532,54.007,72.107,72.506,77.885,83.757,76.891,114.644,96.628,69.222,73.21,68.241
2003년 8월,73.628,61.945,54.146,72.303,72.57,77.959,83.83,76.749,113.858,96.435,69.28,73.613,68.552
2003년 9월,74.294,64.882,54.146,72.434,72.633,78.63,83.757,76.749,113.858,95.954,69.28,73.68,68.737
2003년 10월,74.36,65.427,54.146,72.173,72.633,78.481,83.609,76.678,113.858,96.051,69.34,73.881,68.365
2003년 11월,74.227,64.393,54.099,70.8,72.888,78.034,83.609,77.245,113.727,96.243,69.34,74.083,68.924
2003년 12월,74.561,64.393,54.146,72.238,73.207,78.332,83.683,77.671,113.727,96.628,69.751,74.485,69.358
2004년 1월,75.027,65.481,54.099,72.173,73.589,77.959,84.716,78.238,113.727,97.109,69.868,74.619,69.607
2004년 2월,75.359,66.296,54.099,72.369,74.099,78.257,84.716,78.734,113.727,96.724,69.927,74.619,69.545
2004년 3월,76.091,67.711,54.146,72.5,74.354,78.407,84.716,79.088,113.727,96.532,72.865,75.157,69.731
2004년 4월,76.091,67.494,54.146,72.564,74.226,79.003,84.716,78.804,113.727,96.532,72.923,75.358,69.42
2004년 5월,76.025,66.786,54.797,72.173,74.354,79.227,84.716,79.088,113.727,96.628,73.041,75.827,69.297
2004년 6월,76.025,66.569,54.751,72.173,74.354,79.301,84.716,79.159,113.727,96.435,73.041,75.962,69.793
2004년 7월,76.491,67.602,54.751,71.911,74.672,79.152,84.716,80.505,113.727,97.109,73.099,76.162,69.545
2004년 8월,77.156,70.212,54.797,72.042,74.864,79.376,84.716,81.214,113.727,96.82,73.099,76.431,69.917
2004년 9월,77.156,70.375,54.797,72.042,74.991,78.779,84.642,81.214,113.727,96.243,73.099,76.632,69.98
2004년 10월,77.156,69.723,54.845,72.107,75.501,78.63,84.642,81.923,111.238,96.243,73.099,76.7,70.042
2004년 11월,76.691,67.547,54.845,70.8,75.501,78.705,84.642,81.994,111.368,96.532,73.099,76.766,70.104
2004년 12월,76.824,67.494,54.797,72.238,75.564,79.525,84.642,81.427,111.368,97.396,73.099,76.834,70.166
2005년 1월,77.58,68.842,62.611,72.311,75.954,79.79,86.126,81.187,111.94,97.675,73.315,76.89,70.053
