항목명1,총지수,  식료품 및 비주류 음료,  주류 및 담배,  의류 및 신발,"  주택, 수도, 전기 및 연료",  가정용품 및 가사 서비스,  보건,  교통,  통신,  오락 및 문화,  교육,  음식 및 숙박,  기타 상품 및 서비스
1985년 1월,30.626,23.011,22.785,34.413,31.607,46.681,37.334,27.633,149.432,64.795,17.454,23.571,37.216
1985년 2월,30.844,23.459,22.785,34.413,31.638,47.206,37.334,27.633,149.432,65.319,17.454,23.618,37.179
1985년 3월,30.875,23.27,22.785,34.447,31.703,47.489,37.711,27.633,149.432,65.844,17.901,23.691,37.141
1985년 4월,30.907,23.247,22.991,34.447,31.929,47.537,37.711,27.66,149.432,65.581,17.938,23.714,37.104
1985년 5월,31.125,23.554,23.083,34.447,32.154,47.585,37.749,27.66,149.432,65.647,17.938,23.714,37.067
1985년 6월,31.156,23.6,23.083,34.447,32.283,47.585,37.711,27.66,149.432,65.779,17.938,23.714,36.991
1985년 7월,31.156,23.506,23.038,34.482,32.381,47.632,37.787,27.66,149.432,65.581,17.956,23.762,36.954
1985년 8월,31.218,23.648,23.038,34.482,32.477,47.632,37.749,27.66,149.432,65.45,17.974,23.857,37.067
1985년 9월,31.561,24.238,23.267,34.482,32.606,47.68,37.749,27.66,149.432,65.581,17.991,24,37.477
1985년 10월,31.655,24.331,23.267,34.759,32.703,47.728,37.749,27.716,149.581,65.713,18.009,24.096,37.44
1985년 11월,31.281,23.411,23.267,34.897,32.8,47.774,37.749,27.994,149.581,65.779,18.009,24.118,37.999
1985년 12월,31.467,23.648,23.315,34.931,32.8,47.823,37.749,28.381,149.581,65.975,18.063,24.167,38.297
1986년 1월,31.748,24.212,23.337,34.966,32.8,47.87,37.787,28.381,149.581,66.631,18.08,24.333,38.448
1986년 2월,31.934,24.614,23.569,34.966,32.767,47.87,37.825,28.354,149.581,67.089,18.134,24.572,38.559
1986년 3월,31.997,24.52,23.569,35.001,32.735,47.917,37.863,28.272,152.721,67.286,18.725,24.667,38.635
1986년 4월,31.966,24.402,23.569,35.001,32.703,47.966,37.863,28.132,160.789,67.089,18.796,24.763,38.635
1986년 5월,32.153,24.59,23.569,35.139,32.896,49.106,37.938,28.132,160.789,66.893,18.796,24.787,38.784
1986년 6월,32.091,24.096,23.752,35.415,33.155,49.059,39.746,28.132,160.789,66.763,18.796,25.024,38.784
1986년 7월,32.122,24.096,23.775,35.449,33.251,49.011,39.82,28.132,160.789,66.828,18.796,25.072,38.747
1986년 8월,32.091,24.024,23.752,35.449,33.284,49.011,39.896,28.132,160.789,66.763,18.796,25.144,38.932
1986년 9월,32.278,24.331,23.752,35.449,33.348,49.011,39.934,28.159,160.789,66.828,18.796,25.144,39.53
1986년 10월,31.966,23.554,23.707,35.622,33.38,49.059,40.122,28.159,160.94,66.828,18.814,25.215,39.754
1986년 11월,31.904,23.388,23.707,35.829,33.413,49.152,40.198,28.159,160.94,66.893,18.814,25.287,39.53
1986년 12월,31.904,23.27,23.73,35.967,33.477,49.295,40.235,28.244,160.94,67.417,18.814,25.287,39.53
1987년 1월,32.028,23.459,23.752,36.003,33.509,49.439,40.235,28.687,160.94,67.352,18.921,25.454,39.68
1987년 2월,32.091,23.506,23.775,36.003,33.509,49.867,40.272,28.687,160.94,67.942,18.976,25.62,39.642
1987년 3월,32.339,23.694,23.821,36.037,33.542,50.009,40.387,28.687,160.94,68.139,19.869,25.716,39.567
1987년 4월,32.526,23.977,23.821,36.072,33.767,50.199,40.499,28.687,160.94,68.467,19.869,25.787,39.791
1987년 5월,33.024,24.897,23.821,36.417,33.961,50.437,40.574,28.743,160.94,68.401,19.888,26.121,40.09
1987년 6월,32.994,24.779,23.868,36.451,33.993,50.199,40.612,28.743,161.088,68.335,19.888,26.121,39.903
1987년 7월,32.9,24.544,24.121,36.451,33.993,50.056,40.461,28.743,161.088,68.27,19.904,26.193,40.053
1987년 8월,33.368,25.581,24.121,36.451,34.09,50.103,40.424,28.771,161.088,68.335,19.904,26.193,40.315
1987년 9월,33.586,25.958,24.121,36.521,34.057,50.294,40.424,28.771,161.088,68.663,19.904,26.193,40.464
1987년 10월,33.617,25.864,24.145,37.35,34.122,50.722,40.461,28.743,161.088,68.401,19.904,26.24,40.613
1987년 11월,33.555,25.652,24.145,37.591,34.122,51.055,40.536,28.687,161.088,68.728,19.923,26.407,40.65
1987년 12월,33.835,26.123,24.121,37.903,34.219,51.197,40.499,28.687,161.088,69.319,20.066,26.407,40.688
